date_time;bus_point;real_power;reactive_power
2017/06/02-10:00;MELTEMI;15.60;06.32
2017/06/02-10:05;MELTEMI;14.87;06.32
2017/06/02-10:10;MELTEMI;14.84;06.09
2017/06/02-10:15;MELTEMI;15.21;06.22
2017/06/02-10:20;MELTEMI;14.81;06.11
2017/06/02-10:25;MELTEMI;15.45;06.23
2017/06/02-10:30;MELTEMI;16.45;06.22
2017/06/02-10:35;MELTEMI;15.24;06.22
2017/06/02-10:40;MELTEMI;15.42;06.15
2017/06/02-10:45;MELTEMI;15.43;06.17
2017/06/02-10:50;MELTEMI;16.01;06.21
2017/06/02-10:55;MELTEMI;15.21;06.16
2017/06/02-11:00;MELTEMI;15.90;06.15
2017/06/02-11:05;MELTEMI;14.67;06.15
2017/06/02-11:10;MELTEMI;16.93;06.00
2017/06/02-11:15;MELTEMI;15.92;06.04
2017/06/02-11:20;MELTEMI;15.94;06.10
2017/06/02-11:25;MELTEMI;16.22;06.07
2017/06/02-11:30;MELTEMI;17.01;06.06
2017/06/02-11:35;MELTEMI;17.28;06.08
2017/06/02-11:40;MELTEMI;17.20;06.05
2017/06/02-11:45;MELTEMI;15.38;06.06
2017/06/02-11:50;MELTEMI;15.89;06.04
2017/06/02-11:55;MELTEMI;15.93;06.03
2017/06/02-12:00;MELTEMI;16.45;06.02
2017/06/02-12:05;MELTEMI;17.19;06.06
2017/06/02-12:10;MELTEMI;16.40;05.92
2017/06/02-12:15;MELTEMI;17.25;05.90
2017/06/02-12:20;MELTEMI;17.47;05.90
2017/06/02-12:25;MELTEMI;17.49;05.87
2017/06/02-12:30;MELTEMI;17.33;05.87
2017/06/02-12:35;MELTEMI;17.35;05.86
2017/06/02-12:40;MELTEMI;16.96;05.90
2017/06/02-12:45;MELTEMI;16.95;05.93
2017/06/02-12:50;MELTEMI;16.51;05.88
2017/06/02-12:55;MELTEMI;16.20;05.88
2017/06/02-13:00;MELTEMI;16.20;05.89
2017/06/02-13:05;MELTEMI;16.16;05.85
2017/06/02-13:10;MELTEMI;17.45;06.18
2017/06/02-13:15;MELTEMI;16.01;06.28
2017/06/02-13:20;MELTEMI;17.15;06.34
2017/06/02-13:25;MELTEMI;17.41;06.55
2017/06/02-13:30;MELTEMI;17.34;06.14
2017/06/02-13:35;MELTEMI;17.55;06.28
2017/06/02-13:40;MELTEMI;16.95;06.24
2017/06/02-13:45;MELTEMI;16.34;06.17
2017/06/02-13:50;MELTEMI;16.70;06.34
2017/06/02-13:55;MELTEMI;16.44;06.27
2017/06/02-14:00;MELTEMI;17.70;06.26
2017/06/02-14:05;MELTEMI;16.91;06.08
2017/06/02-14:10;MELTEMI;15.57;06.03
2017/06/02-14:15;MELTEMI;15.56;06.08
2017/06/02-14:20;MELTEMI;16.47;06.10
2017/06/02-14:25;MELTEMI;16.22;06.39
2017/06/02-14:30;MELTEMI;16.93;06.22
2017/06/02-14:35;MELTEMI;16.00;06.36
2017/06/02-14:40;MELTEMI;16.35;06.21
2017/06/02-14:45;MELTEMI;16.47;06.29
2017/06/02-14:50;MELTEMI;16.41;06.16
2017/06/02-14:55;MELTEMI;17.04;05.98
2017/06/02-15:00;MELTEMI;16.77;06.09
2017/06/02-15:05;MELTEMI;18.11;06.06
2017/06/02-15:10;MELTEMI;16.03;06.06
2017/06/02-15:15;MELTEMI;15.78;05.82
2017/06/02-15:20;MELTEMI;16.78;05.87
2017/06/02-15:25;MELTEMI;16.43;05.85
2017/06/02-15:30;MELTEMI;16.70;05.95
2017/06/02-15:35;MELTEMI;17.76;06.12
2017/06/02-15:40;MELTEMI;16.87;06.08
2017/06/02-15:45;MELTEMI;17.56;06.07
2017/06/02-15:50;MELTEMI;18.65;05.92
2017/06/02-15:55;MELTEMI;18.51;05.62
2017/06/02-16:00;MELTEMI;18.59;05.69
2017/06/02-16:05;MELTEMI;18.35;05.76
2017/06/02-16:10;MELTEMI;19.35;05.83
2017/06/02-16:15;MELTEMI;19.25;05.73
2017/06/02-16:20;MELTEMI;19.37;05.70
2017/06/02-16:25;MELTEMI;20.68;05.66
2017/06/02-16:30;MELTEMI;20.74;05.63
2017/06/02-16:35;MELTEMI;19.28;05.50
2017/06/02-16:40;MELTEMI;20.36;05.52
2017/06/02-16:45;MELTEMI;18.97;05.54
2017/06/02-16:50;MELTEMI;19.12;05.68
2017/06/02-16:55;MELTEMI;20.39;05.53
2017/06/02-17:00;MELTEMI;21.82;05.67
2017/06/02-17:05;MELTEMI;20.98;05.54
2017/06/02-17:10;MELTEMI;22.87;05.63
2017/06/02-17:15;MELTEMI;19.40;05.55
2017/06/02-17:20;MELTEMI;20.41;05.62
2017/06/02-17:25;MELTEMI;20.95;05.57
2017/06/02-17:30;MELTEMI;19.80;05.54
2017/06/02-17:35;MELTEMI;20.53;05.55
2017/06/02-17:40;MELTEMI;23.56;05.63
