2022-04-14 11:12:12.021288 Intel acceleration enabled:False
2022-04-14 11:12:16.868350 Intel acceleration enabled:False
2022-04-14 11:12:29.118743 Intel acceleration enabled: False
2022-04-14 11:12:34.258312 Intel acceleration enabled: False
2022-04-14 11:15:46.274535 Intel acceleration enabled: False
2022-04-14 13:16:32.212129 Intel acceleration enabled: False
2022-04-14 13:16:37.518194 Intel acceleration enabled: False
2022-04-14 13:22:06.091193 Intel acceleration enabled: False
2022-04-14 13:28:34.288585 Intel acceleration enabled: False
2022-04-14 13:29:49.881236 Intel acceleration enabled: False
2022-04-14 13:29:54.994312 Intel acceleration enabled: False
2022-04-23 14:55:38.665448 Intel acceleration enabled: False
2022-04-23 14:55:43.392739 Intel acceleration enabled: False
2022-04-23 14:56:53.252926 Intel acceleration enabled: False
2022-04-23 14:59:51.578007 Intel acceleration enabled: False
2022-04-23 14:59:58.182722 Intel acceleration enabled: False
2022-04-23 15:04:12.054924 Intel acceleration enabled: False
2022-04-23 15:21:55.295733 Intel acceleration enabled: False
2022-04-23 20:46:27.404129 Intel acceleration enabled: False
2022-04-23 20:46:34.355478 Intel acceleration enabled: False
2022-04-23 21:21:21.367397 Intel acceleration enabled: False
2022-04-23 21:21:32.948092 Intel acceleration enabled: False
2022-04-23 21:31:45.275122 Intel acceleration enabled: False
2022-04-25 15:45:01.755719 Intel acceleration enabled: False
2022-04-25 15:45:57.329633 Intel acceleration enabled: False
2022-04-25 15:47:26.155889 Intel acceleration enabled: False
2022-04-25 15:49:30.810336 Intel acceleration enabled: False
2022-04-25 15:51:15.876385 Intel acceleration enabled: False
2022-04-25 15:55:50.211518 Intel acceleration enabled: False
2022-04-25 15:57:01.256097 Intel acceleration enabled: False
2022-04-25 15:57:07.423945 Intel acceleration enabled: False
2022-04-25 15:58:02.038453 Intel acceleration enabled: False
2022-04-25 15:59:02.786381 Intel acceleration enabled: False
2022-04-25 15:59:12.914978 Intel acceleration enabled: False
2022-04-25 16:04:18.467262 Intel acceleration enabled: False
2022-04-25 16:05:08.250147 Intel acceleration enabled: False
2022-04-25 16:05:22.328677 Intel acceleration enabled: False
2022-04-25 16:05:34.922700 Intel acceleration enabled: False
2022-04-25 16:05:41.194108 Intel acceleration enabled: False
2022-04-25 16:06:52.204061 Intel acceleration enabled: False
2022-04-25 16:07:21.897667 Intel acceleration enabled: False
2022-04-25 16:07:33.171704 Intel acceleration enabled: False
2022-04-25 16:11:24.560100 Intel acceleration enabled: False
2022-04-25 16:11:36.584094 Intel acceleration enabled: False
2022-04-25 16:13:53.098642 Intel acceleration enabled: False
2022-04-25 16:15:47.107565 Intel acceleration enabled: False
2022-04-25 16:16:54.280361 Intel acceleration enabled: False
2022-04-25 16:17:03.304888 Intel acceleration enabled: False
2022-04-25 16:19:16.490840 Intel acceleration enabled: False
2022-04-25 16:19:53.911830 Intel acceleration enabled: False
2022-04-25 16:27:31.573701 Intel acceleration enabled: False
2022-04-25 16:27:40.177169 Intel acceleration enabled: False
2022-04-25 16:28:26.041971 Intel acceleration enabled: False
2022-04-25 16:29:01.521804 Intel acceleration enabled: False
2022-04-25 16:29:38.778092 Intel acceleration enabled: False
2022-04-25 16:30:22.977153 Intel acceleration enabled: False
2022-04-25 16:33:13.078261 Intel acceleration enabled: False
2022-04-25 16:33:17.756368 Intel acceleration enabled: False
2022-04-25 17:14:42.624020 Intel acceleration enabled: False
2022-04-25 17:14:51.839018 Intel acceleration enabled: False
2022-04-25 17:16:13.060767 Intel acceleration enabled: False
2022-04-25 17:18:27.297066 Intel acceleration enabled: False
2022-04-25 17:18:31.703759 Intel acceleration enabled: False
2022-04-25 17:19:57.527845 Intel acceleration enabled: False
2022-04-25 17:20:27.271522 Intel acceleration enabled: False
2022-04-25 17:20:49.976758 Intel acceleration enabled: False
2022-04-25 17:21:27.542876 Intel acceleration enabled: False
2022-04-25 17:24:07.271130 Intel acceleration enabled: False
2022-04-25 17:31:06.485602 Intel acceleration enabled: False
2022-04-25 17:31:10.945530 Intel acceleration enabled: False
